iter	RMSE
0	1.123563211
1	1.094022805
2	1.065667297
3	1.03898614
4	1.013291867
5	0.9897061185
6	0.9668827668
7	0.9468327722
8	0.9283329942
9	0.9087521088
10	0.8907748222
11	0.8745526806
12	0.8593968354
13	0.8451377496
14	0.8295439972
15	0.8159441443
16	0.8043309381
17	0.7925571059
18	0.7816314688
19	0.7723171844
20	0.7631793688
21	0.753579296
22	0.743972758
23	0.736075506
24	0.7263300523
25	0.7187721852
26	0.7103279865
27	0.7032239452
28	0.6968342876
29	0.6907473404
30	0.6853230279
31	0.6801666209
32	0.6741737408
33	0.6695794091
34	0.6629432277
35	0.6580834235
36	0.6530121394
37	0.6475880679
38	0.6423356586
39	0.6388839156
40	0.6354373142
41	0.6317710929
42	0.6281388937
43	0.6244976002
44	0.6219654076
45	0.619228037
46	0.6158396109
47	0.6134121616
48	0.610137326
49	0.6081473886
50	0.6058300742
51	0.6036776929
52	0.6007610994
53	0.5985062807
54	0.59624373
55	0.5941342455
56	0.5920178037
57	0.5897940989
58	0.587161822
59	0.5852288288
60	0.5830017701
61	0.5814218497
62	0.5800119709
63	0.5777638225
64	0.5762387844
65	0.5746850648
66	0.5730201161
67	0.5717319819
68	0.5704653608
69	0.5683689178
70	0.567475114
71	0.5656524028
72	0.563986431
73	0.5623113313
74	0.5613500952
75	0.5604677293
76	0.5595624737
77	0.5584974335
78	0.5565281835
79	0.5556358268
80	0.5544971354
81	0.5532412303
82	0.5522367121
83	0.5509355022
84	0.5501900398
85	0.5494789305
86	0.5486856442
87	0.5478420806
88	0.5467876186
89	0.5462876687
90	0.5453672774
91	0.5440170721
92	0.5434374913
93	0.5420381441
94	0.5407812353
95	0.5398874068
96	0.539270247
97	0.5383108298
98	0.5369801571
99	0.5360504276
100	0.5352688527
101	0.5347202918
102	0.5342969852
103	0.5335573087
104	0.5329789886
105	0.5323104133
106	0.5313521052
107	0.5307710142
108	0.5299248499
109	0.5294113322
110	0.5282909681
111	0.5277780648
112	0.5271455723
113	0.5267681364
114	0.5259548569
115	0.5253674188
116	0.5250156376
117	0.5243841815
118	0.5238724143
119	0.5234895625
120	0.5229100848
121	0.5225253503
122	0.522001352
123	0.5214867818
124	0.5209178717
125	0.5204957454
126	0.5199637741
127	0.5196415263
128	0.5187036605
129	0.5183462509
130	0.5176776429
131	0.5172761591
132	0.5166594139
133	0.5160907958
134	0.5157579682
135	0.5153970139
136	0.515015344
137	0.5146122267
138	0.5139227693
139	0.5134513588
140	0.5131483981
141	0.5127849783
142	0.5124138875
143	0.5119705411
144	0.5115416713
145	0.5112051678
146	0.5108334811
147	0.510126102
148	0.5096664935
149	0.5088241591
150	0.5085239278
151	0.5079360977
152	0.5074905763
153	0.506966025
154	0.5064343268
155	0.5060116664
156	0.5057080388
157	0.5051936645
158	0.5048061226
159	0.5045332521
160	0.503476409
161	0.5031627942
162	0.5026525893
163	0.502402096
164	0.5019637619
165	0.5017000963
166	0.5012789668
167	0.5008784572
168	0.5004169348
169	0.4997668469
170	0.4989178816
171	0.498609211
172	0.4982528655
173	0.4977770982
174	0.4972978647
175	0.4970038386
176	0.4966788788
177	0.495845993
178	0.4954536794
179	0.494943755
180	0.4941862626
181	0.4938293751
182	0.4934627261
183	0.492804405
184	0.4922653034
185	0.4917931389
186	0.4915104453
187	0.4911655837
188	0.4906013923
189	0.4904497255
190	0.4901155562
191	0.4897735902
192	0.4892139253
193	0.4889884105
194	0.4886438344
195	0.4882322251
196	0.4877431599
197	0.4874837293
198	0.4869680392
199	0.4866059641
200	0.486320425
201	0.485984122
202	0.4857003585
203	0.4853205727
204	0.484792251
205	0.4845255894
206	0.4842351718
207	0.4838401889
208	0.4835359497
209	0.4831857606
210	0.4829289144
211	0.482594315
212	0.4823019059
213	0.4820379554
214	0.4815733784
215	0.4812845045
216	0.4809158456
217	0.4804538508
218	0.4801271255
219	0.4797966
220	0.4795183425
221	0.4791923368
222	0.4785981614
223	0.4781481434
224	0.4777108613
225	0.4773983257
226	0.4770765203
227	0.4767946808
228	0.4762928424
229	0.4759615282
230	0.4757483162
231	0.4752551457
232	0.4749778424
233	0.4746671222
234	0.4742928335
235	0.4739543166
236	0.473675465
237	0.473277761
238	0.4727718022
239	0.4725535621
240	0.4722287623
241	0.4720145567
242	0.4718637517
243	0.4712000759
244	0.4709467419
245	0.4705084435
246	0.4700809075
247	0.4697668678
248	0.4695152035
249	0.4691643214
250	0.4688738084
251	0.4686207445
252	0.4682464954
253	0.4679364004
254	0.4676056891
255	0.4673677034
256	0.4670763081
257	0.4667727861
258	0.4665126084
259	0.4660711695
260	0.4657268363
261	0.4654740801
262	0.4652391999
263	0.4647863547
264	0.4645032165
265	0.4640951513
266	0.4638205856
267	0.4635637646
268	0.4633407317
269	0.4630238612
270	0.4627808815
271	0.4625139211
272	0.4621684418
273	0.4617678559
274	0.4615225725
275	0.4609501581
276	0.4606170998
277	0.460346466
278	0.4601991397
279	0.4599563527
280	0.4596506382
281	0.4594810806
282	0.459266285
283	0.4590412194
284	0.4586857026
285	0.4585446902
286	0.457961869
287	0.4577421661
288	0.4575254795
289	0.4572963658
290	0.4570535786
291	0.4567919945
292	0.4565280145
293	0.4563059408
294	0.4560771982
295	0.4558901877
296	0.4557289989
297	0.455517829
298	0.4552470928
299	0.4549588541
300	0.4547078161
301	0.454201242
302	0.4539739313
303	0.4537047757
304	0.4532002976
305	0.4527748649
306	0.4525630258
307	0.4523399415
308	0.4521091775
309	0.4518973334
310	0.4516793296
311	0.4513945587
312	0.451194894
313	0.4509005125
314	0.4507233138
315	0.4504553221
316	0.4502507911
317	0.4498141626
318	0.4495978537
319	0.4492931232
320	0.4490226132
321	0.448717004
322	0.4484588525
323	0.448232746
324	0.4480483626
325	0.4477717583
326	0.4475874475
327	0.447451196
328	0.4470710567
329	0.4468655509
330	0.4465051429
331	0.4462771776
332	0.4460917054
333	0.4459036475
334	0.445629531
335	0.4453995703
336	0.4452081558
337	0.4450444547
338	0.4446803088
339	0.4444901855
340	0.4442643845
341	0.4439587238
342	0.4435724496
343	0.4433198114
344	0.4429354476
345	0.4426890624
346	0.4424228453
347	0.4421881661
348	0.4419787174
349	0.4417190807
350	0.4415599857
351	0.4413482869
352	0.4412453773
353	0.4410471109
354	0.4408223895
355	0.4403779562
356	0.4402221299
357	0.4400171885
358	0.4398062148
359	0.4396447673
360	0.4393711059
361	0.4391753014
362	0.4388464862
363	0.4387278632
364	0.4385426172
365	0.4382174598
366	0.4379667223
367	0.4377008581
368	0.4375178918
369	0.4373162512
370	0.4371009307
371	0.4368957097
372	0.4367241022
373	0.4365003312
374	0.4362888381
375	0.4360802178
376	0.4358380186
377	0.4356041606
378	0.4354134424
379	0.435283144
380	0.4351130071
381	0.4349305699
382	0.4347833038
383	0.4346400967
384	0.4343263999
385	0.4341329123
386	0.4339803491
387	0.4338103975
388	0.4336764096
389	0.4335244112
390	0.4333816015
391	0.4332212387
392	0.4330208835
393	0.4327712261
394	0.4325815828
395	0.4323911889
396	0.4322777025
397	0.4320811772
398	0.4319401128
399	0.431649147
400	0.4314479287
401	0.4311812967
402	0.431018086
403	0.430764244
404	0.4304874871
405	0.430284404
406	0.4300735643
407	0.4299418945
408	0.4297867545
409	0.4296632866
410	0.4295436895
411	0.42937591
412	0.4292342695
413	0.4290399666
414	0.4288610917
415	0.4286786808
416	0.4285546895
417	0.428407578
418	0.4282910457
419	0.4280680964
420	0.4278928045
421	0.4276609722
422	0.4275230727
423	0.4273327721
424	0.4271872747
425	0.4270035791
426	0.4269150671
427	0.4267669863
428	0.426613438
429	0.4264826729
430	0.426268668
431	0.4260528646
432	0.425874088
433	0.4257927173
434	0.4255905604
435	0.4252083624
436	0.4249161486
437	0.4248014369
438	0.424653679
439	0.424401802
440	0.4241968251
441	0.4240269875
442	0.4237280904
443	0.423523651
444	0.4234095646
445	0.4232861994
446	0.4231643584
447	0.4230149762
448	0.4229119175
449	0.4227685437
450	0.4225439988
451	0.4223899268
452	0.4222752184
453	0.4220873218
454	0.4219114206
455	0.4217967743
456	0.421621792
457	0.4214579953
458	0.4211338927
459	0.4210442328
460	0.4208356572
461	0.4206730726
462	0.4204959564
463	0.4203280502
464	0.4201047907
465	0.4199540035
466	0.4198213596
467	0.4196509129
468	0.4195552294
469	0.4193576221
470	0.419178149
471	0.4190372061
472	0.4188031908
473	0.4186589304
474	0.4184523967
475	0.4183100302
476	0.418163418
477	0.4180339405
478	0.4178637489
479	0.4177698102
480	0.4176506922
481	0.4174613161
482	0.4173473772
483	0.4171256085
484	0.4170268047
485	0.4169041983
486	0.4167699002
487	0.4165370568
488	0.4163657588
489	0.4162459585
490	0.4161233909
491	0.415940366
492	0.4157477165
493	0.415647503
494	0.4155659038
495	0.4154621611
496	0.4153357879
497	0.4152384782
498	0.4150964354
499	0.4149453258
500	0.4147676864
501	0.4146224906
502	0.4145735217
503	0.414434777
504	0.4143144743
505	0.4141889539
506	0.4140681179
507	0.4139317413
508	0.4137498361
509	0.4136574843
510	0.4135354947
511	0.4134393947
512	0.4133053255
513	0.4131696457
514	0.4130439275
515	0.412878663
516	0.4127896552
517	0.4126301957
518	0.4125073105
519	0.4123219851
520	0.4122072894
521	0.412061355
522	0.4118398813
523	0.4116184431
524	0.4114739059
525	0.4113045338
526	0.4111980262
527	0.4110171062
528	0.4108665701
529	0.4107871008
530	0.4106601004
531	0.4105337673
532	0.4103649826
533	0.410287874
534	0.4101400128
535	0.4100253612
536	0.4099141653
537	0.4096968368
538	0.4096027676
539	0.4094345789
540	0.4093465857
541	0.4091733539
542	0.4089831392
543	0.4088631855
544	0.4087253266
545	0.408579551
546	0.4084451476
547	0.4083041929
548	0.4081493816
549	0.4080171811
550	0.4078135935
551	0.4076932943
552	0.4076157508
553	0.4074358795
554	0.4072663375
555	0.4071478367
556	0.4069969341
557	0.4069055182
558	0.4067559034
559	0.4066194614
560	0.4064823364
561	0.4063021854
562	0.4061985202
563	0.4061285645
564	0.4060411562
565	0.4058887843
566	0.4057195736
567	0.4054612482
568	0.4052661612
569	0.4051617091
570	0.405059403
571	0.4049246491
572	0.4047870929
573	0.4046879299
574	0.404545164
575	0.4044482107
576	0.4043280914
577	0.4042137235
578	0.4040476825
579	0.4039193829
580	0.4038145678
581	0.4036476864
582	0.4034878527
583	0.4033269847
584	0.403196093
585	0.4030595234
586	0.402957941
587	0.4028334703
588	0.4026894986
589	0.4025164606
590	0.4023846586
591	0.4022406221
592	0.4020635217
593	0.4019440261
594	0.4018435479
595	0.4017523069
596	0.4015888299
597	0.4014539015
598	0.4013772504
599	0.4012452125
600	0.4011819317
601	0.4010589953
602	0.4008885667
603	0.400784058
604	0.4006656155
605	0.4005460328
606	0.4003736258
607	0.4002823728
608	0.4001854076
609	0.4000571573
610	0.3999223002
611	0.3998295968
612	0.3997251222
613	0.399576406
614	0.3994930802
615	0.3993668429
616	0.3992833428
617	0.3991298156
618	0.3990016537
619	0.3989126538
620	0.3987731609
621	0.3985613259
622	0.3984574123
623	0.3983634729
624	0.3981668956
625	0.3980456615
626	0.3979542898
627	0.3978966405
628	0.3977988636
629	0.3976409775
630	0.3975172685
631	0.3974448145
632	0.3973131145
633	0.3971864249
634	0.397069718
635	0.3969170735
636	0.3967970235
637	0.3966760888
638	0.3965676329
639	0.3964622245
640	0.396240078
641	0.3961815476
642	0.3960615535
643	0.395945366
644	0.39587724
645	0.395750373
646	0.3956311366
647	0.3955339111
648	0.3953961833
649	0.3953281832
650	0.3952347023
651	0.3950631984
652	0.3949739631
653	0.3948814725
654	0.3948136684
655	0.3946654086
656	0.3945497974
657	0.3944019999
658	0.3943170999
659	0.3941847226
660	0.3940522523
661	0.3939623258
662	0.3938755618
663	0.3937562201
664	0.3936187784
665	0.3935594336
666	0.3934504151
667	0.3933433554
668	0.3932347643
669	0.3931466139
670	0.3930424486
671	0.3929473524
672	0.3928144671
673	0.3927072625
674	0.3925853251
675	0.3924863116
676	0.3922490154
677	0.392178677
678	0.3921200582
679	0.3919776801
680	0.3918428664
681	0.3916319084
682	0.3915455521
683	0.3914380917
684	0.3913485632
685	0.3912571953
686	0.3911175053
687	0.3910104447
688	0.3909086075
689	0.3907417498
690	0.3906238115
691	0.3904721866
692	0.3903652223
693	0.3902886216
694	0.3902172468
695	0.3900341291
696	0.389884225
697	0.389794063
698	0.3897190745
699	0.3896458626
700	0.3895065238
701	0.3893886278
702	0.3892640183
703	0.3891666452
704	0.3890395809
705	0.3889329631
706	0.3887622183
707	0.3886700383
708	0.3885990344
709	0.3884039656
710	0.3882595693
711	0.3881940129
712	0.3880829767
713	0.3880276065
714	0.3878177851
715	0.38761342
716	0.3875031089
717	0.3873821179
718	0.387307236
719	0.3871942712
720	0.3871228429
721	0.387003369
722	0.3869099093
723	0.3868393169
724	0.3867356012
725	0.3866130386
726	0.3865261631
727	0.3863825616
728	0.386287162
729	0.3861720898
730	0.3860804547
731	0.3859874119
732	0.3858805431
733	0.3857811754
734	0.3856718066
735	0.3855576169
736	0.3854473584
737	0.385342879
738	0.3852560261
739	0.3851552352
740	0.3850783056
741	0.3850033737
742	0.3849229709
743	0.3848571243
744	0.3847644269
745	0.3846117483
746	0.3845375569
747	0.3843747311
748	0.3842818998
749	0.3841400979
750	0.3840538569
751	0.3839417166
752	0.3838206175
753	0.3837382211
754	0.3836683282
755	0.3835797293
756	0.3835115108
757	0.3834111324
758	0.3833249223
759	0.3832568021
760	0.3831517832
761	0.3830133562
762	0.3828793458
763	0.3828027396
764	0.3827121965
765	0.3825436483
766	0.3824733869
767	0.3823696644
768	0.3823106489
769	0.3821780564
770	0.3820471761
771	0.3819881767
772	0.3818863451
773	0.3817253941
774	0.3815960844
775	0.3815391493
776	0.3814283132
777	0.3813088624
778	0.3812128323
779	0.3811356386
780	0.3810086148
781	0.3808963985
782	0.3807793308
783	0.3807281613
784	0.3806121998
785	0.3805259914
786	0.3804314145
787	0.3803499469
788	0.3802305491
789	0.3800508476
790	0.3799647644
791	0.3798913322
792	0.3797797632
793	0.3797053205
794	0.3796098733
