iter	Passed	Remaining
0	3	3030
1	6	3185
2	9	3194
3	13	3411
4	16	3344
5	19	3166
6	21	3002
7	23	2864
8	25	2795
9	27	2749
10	30	2751
11	32	2710
12	35	2658
13	36	2604
14	39	2567
15	41	2538
16	43	2515
17	46	2510
18	48	2506
19	51	2504
20	53	2515
21	56	2514
22	59	2548
23	64	2627
24	68	2665
25	72	2711
26	75	2706
27	77	2683
28	79	2665
29	81	2644
30	84	2649
31	87	2632
32	89	2615
33	91	2598
34	93	2574
35	95	2561
36	97	2540
37	99	2525
38	101	2510
39	103	2494
40	106	2481
41	108	2465
42	110	2449
43	112	2438
44	114	2431
45	116	2417
46	118	2412
47	120	2396
48	123	2387
49	124	2373
50	126	2361
51	128	2348
52	130	2338
53	132	2325
54	134	2315
55	136	2306
56	138	2298
57	141	2291
58	142	2278
59	144	2268
60	146	2261
61	148	2254
62	151	2248
63	153	2244
64	155	2237
65	157	2231
66	159	2226
67	162	2221
68	164	2217
69	166	2212
70	168	2206
71	170	2196
72	172	2187
73	174	2178
74	175	2170
75	178	2165
76	180	2158
77	182	2152
78	184	2149
79	186	2143
80	188	2136
81	190	2133
82	192	2127
83	194	2124
84	197	2122
85	199	2121
86	201	2118
87	204	2117
88	206	2117
89	208	2112
90	210	2106
91	212	2101
92	215	2097
93	217	2092
94	219	2091
95	221	2085
96	223	2079
97	225	2073
98	227	2070
99	229	2066
100	231	2061
101	233	2059
102	236	2055
103	238	2053
104	240	2047
105	242	2042
106	244	2038
107	246	2033
108	248	2029
109	250	2025
110	252	2021
111	254	2020
112	256	2015
113	258	2012
114	261	2009
115	263	2006
116	265	2004
117	267	2001
118	270	1999
119	272	1997
120	274	1994
121	276	1990
122	278	1987
123	280	1984
124	283	1983
125	285	1980
126	287	1976
127	289	1974
128	292	1972
129	294	1970
130	296	1966
131	298	1964
132	300	1960
133	302	1957
134	304	1953
135	306	1949
136	309	1947
137	311	1943
138	313	1944
139	316	1941
140	318	1938
141	320	1935
142	322	1931
143	324	1929
144	326	1925
145	328	1922
146	330	1920
147	333	1917
148	335	1915
149	337	1912
150	339	1910
151	342	1908
152	344	1905
153	346	1901
154	348	1900
155	350	1897
156	352	1895
157	355	1891
158	357	1888
159	359	1885
160	361	1882
161	363	1878
162	365	1876
163	367	1874
164	369	1871
165	372	1869
166	374	1866
167	376	1864
168	378	1863
169	381	1861
170	383	1858
171	385	1856
172	388	1854
173	390	1851
174	392	1849
175	394	1847
176	397	1848
177	399	1846
178	402	1843
179	404	1841
180	406	1839
181	408	1836
182	410	1834
183	412	1831
184	415	1830
185	417	1828
186	420	1826
187	422	1824
188	424	1821
189	426	1820
190	429	1818
191	431	1817
192	434	1816
193	437	1815
194	439	1814
195	442	1813
196	445	1815
197	448	1815
198	450	1813
199	452	1810
200	455	1809
201	457	1808
202	460	1806
203	462	1804
204	464	1802
205	467	1800
206	469	1798
207	471	1796
208	474	1795
209	476	1792
210	478	1790
211	481	1788
212	483	1785
213	485	1783
214	488	1782
215	490	1779
216	492	1778
217	495	1778
218	498	1776
219	500	1775
220	503	1774
221	505	1771
222	507	1768
223	510	1766
224	512	1764
225	514	1761
226	516	1758
227	518	1757
228	521	1755
229	523	1752
230	526	1754
231	529	1753
232	533	1754
233	535	1752
234	537	1750
235	540	1748
236	542	1746
237	545	1745
238	547	1742
239	549	1740
240	551	1738
241	554	1735
242	556	1733
243	558	1730
244	560	1728
245	563	1725
246	565	1723
247	567	1720
248	569	1717
249	571	1715
250	574	1712
251	576	1710
252	578	1708
253	580	1705
254	582	1702
255	585	1700
256	587	1698
257	589	1695
258	591	1693
259	594	1691
260	596	1690
261	599	1687
262	601	1685
263	603	1683
264	606	1680
265	608	1678
266	610	1676
267	612	1673
268	614	1671
269	617	1669
270	619	1666
271	621	1663
272	623	1660
273	625	1658
274	628	1657
275	631	1655
276	633	1653
277	635	1650
278	637	1648
279	640	1645
280	642	1643
281	644	1640
282	647	1639
283	649	1637
284	651	1635
285	654	1633
286	656	1631
287	659	1629
288	661	1627
289	663	1624
290	666	1622
291	668	1620
292	670	1618
293	673	1617
294	675	1614
295	677	1612
296	680	1609
297	682	1608
298	684	1605
299	687	1603
300	689	1600
301	691	1598
302	694	1597
303	696	1594
304	698	1592
305	701	1590
306	703	1587
307	706	1586
308	708	1584
309	710	1581
310	713	1579
311	715	1577
312	717	1574
313	719	1571
314	721	1569
315	723	1566
316	726	1564
317	728	1561
318	730	1559
319	732	1556
320	734	1553
321	736	1551
322	738	1548
323	740	1545
324	743	1543
325	745	1541
326	748	1539
327	750	1537
328	752	1535
329	754	1532
330	757	1530
331	759	1527
332	761	1524
333	763	1522
334	765	1520
335	767	1517
336	770	1515
337	772	1512
338	775	1511
339	777	1509
340	779	1506
341	782	1506
342	785	1504
343	787	1501
344	789	1498
345	791	1496
346	793	1494
347	796	1491
348	798	1489
349	800	1487
350	803	1485
351	805	1483
352	808	1481
353	810	1478
354	812	1475
355	814	1472
356	816	1470
357	818	1467
358	820	1464
359	822	1461
360	824	1459
361	826	1455
362	828	1453
363	830	1450
364	831	1447
365	833	1444
366	835	1441
367	837	1438
368	839	1435
369	841	1432
370	843	1430
371	845	1427
372	847	1425
373	849	1422
374	851	1419
375	853	1416
376	855	1414
377	857	1411
378	860	1409
379	862	1407
380	864	1404
381	866	1402
382	868	1399
383	870	1396
384	872	1393
385	874	1391
386	876	1389
387	879	1386
388	881	1384
389	883	1381
390	885	1379
391	888	1377
392	890	1374
393	892	1373
394	895	1371
395	897	1369
396	899	1367
397	902	1364
398	904	1361
399	906	1359
400	909	1357
401	911	1355
402	913	1352
403	915	1350
404	918	1348
405	920	1346
406	922	1344
407	924	1341
408	926	1339
409	929	1336
410	931	1334
411	933	1331
412	935	1329
413	937	1327
414	939	1324
415	941	1322
416	943	1319
417	946	1317
418	949	1316
419	951	1313
420	953	1311
421	955	1308
422	957	1306
423	960	1304
424	962	1302
425	964	1299
426	966	1296
427	973	1300
428	975	1298
429	978	1296
430	980	1293
431	982	1291
432	985	1290
433	987	1287
434	990	1286
435	993	1284
436	995	1282
437	997	1280
438	999	1277
